Year,Month,Date,Chapter,General Fund,Savings/Strike
2026,2,2026-02-17,WORKING WA,11087,450.46
2026,2,2026-02-17,BSSU,80669.62,90475.06
2026,2,2026-02-17,LA LABOR FED,16986.11,4
2026,2,2026-02-17,PROTEC17,27685.55,4
2026,2,2026-02-17,SEIU 925 ,275462.07,4
2026,2,2026-02-17,SEIU 2015 ,207789.06,219040.76
2026,2,2026-02-17,SEIU 221 ,24420.81,4
2026,2,2026-02-17,UFCW 3000,84982.38,4
2026,2,2026-02-17,MEAWU,2100.91,0
2026,2,2026-02-17,NVLF,4320.3,0
2026,2,2026-02-17,UDWU,43623.04,0
2026,2,2026-02-17,UFCW367,9090.93,0
2026,2,2026-02-17,KIWA,3575.61,0
2026,2,2026-02-17,OPEIU Local 29,0,0
2026,2,2026-02-17,CWR,0,0
2026,1,2026-01-22,WORKING WA,11087,450.4
2026,1,2026-01-22,BSSU,79388.25,90463.53
2026,1,2026-01-22,LA LABOR FED,16986.11,0
2026,1,2026-01-22,PROTEC17,26814.09,0
2026,1,2026-01-22,SEIU 925 ,274715.31,0
2026,1,2026-01-22,SEIU 2015 ,214744.69,219012.85
2026,1,2026-01-22,SEIU 221 ,24420.81,0
2026,1,2026-01-22,UFCW 3000,82467.96,0
2026,1,2026-01-22,MEAWU,2594.41,0
2026,1,2026-01-22,NVLF,4320.3,0
2026,1,2026-01-22,UDWU,43623.04,0
2026,1,2026-01-22,UFCW367,8480.58,0
2026,1,2026-01-22,KIWA,3575.61,0
2025,12,2025-12-16,WORKING WA,10703.91,407.78
2025,12,2025-12-16,BSSU,76324.24,90452.57
2025,12,2025-12-16,LA LABOR FED,16986.11,0
2025,12,2025-12-16,PROTEC17,26325.77,0
2025,12,2025-12-16,SEIU 925 ,274619.62,0
2025,12,2025-12-16,SEIU 2015 ,214836.67,218984.95
2025,12,2025-12-16,SEIU 221 ,23583.25,0
2025,12,2025-12-16,UFCW 3000,80801.96,0
2025,12,2025-12-16,MEAWU,2852.91,0
2025,12,2025-12-16,NVLF,3684.35,0
2025,12,2025-12-16,UDWU,31292.74,0
2025,12,2025-12-16,UFCW367,7992.3,0
2025,12,2025-12-16,KIWA,2544.9,0
2025,11,2025-11-18,WORKING WA,10703.91,407.73
2025,11,2025-11-18,BSSU,87836.45,81151.56
2025,11,2025-11-18,LA LABOR FED,16986.11,0
2025,11,2025-11-18,PROTEC17,26852.99,0
2025,11,2025-11-18,SEIU 925 ,276985.07,0
2025,11,2025-11-18,SEIU 2015 ,215745.16,218957.95
2025,11,2025-11-18,SEIU 221 ,23583.25,0
2025,11,2025-11-18,UFCW 3000,79146.87,0
2025,11,2025-11-18,MEAWU,3450.91,0
2025,11,2025-11-18,NVLF,3684.35,0
2025,11,2025-11-18,UDWU,31292.74,0
2025,11,2025-11-18,UFCW367,7372.52,0
2025,11,2025-11-18,KIWA,2544.9,0
2025,10,2025-10-21,WORKING WA,10315.02,364.47
2025,10,2025-10-21,BSSU,85900.27,81141.22
2025,10,2025-10-21,LA LABOR FED,14750.97,0
2025,10,2025-10-21,PROTEC17,26848.38,0
2025,10,2025-10-21,SEIU 925 ,275796.47,0
2025,10,2025-10-21,SEIU 2015 ,216120.16,218930.05
2025,10,2025-10-21,SEIU 221 ,22482.86,0
2025,10,2025-10-21,UFCW 3000,77493.83,0
2025,10,2025-10-21,MEAWU,3450.91,0
2025,10,2025-10-21,NVLF,3169.27,0
2025,10,2025-10-21,UDWU,21840.36,0
2025,10,2025-10-21,UFCW367,6339.87,0
2025,10,2025-10-21,KIWA,1940.52,0
2025,9,2025-09-16,WORKING WA,10098.22,340.33
2025,9,2025-09-16,BSSU,83304.49,81131.21
2025,9,2025-09-16,LA LABOR FED,14750.97,0
2025,9,2025-09-16,PROTEC17,26279.52,0
2025,9,2025-09-16,SEIU 925 ,274600.77,0
2025,9,2025-09-16,SEIU 2015 ,216212.14,218903.06
2025,9,2025-09-16,SEIU 221 ,22482.86,0
2025,9,2025-09-16,UFCW 3000,73386.18,0
2025,9,2025-09-16,MEAWU,3450.91,0
2025,9,2025-09-16,NVLF,2987.28,0
2025,9,2025-09-16,UDWU,17386.95,0
2025,9,2025-09-16,UFCW367,5520.16,0
2025,9,2025-09-16,KIWA,1388,0
2025,8,2025-08-19,WORKING WA,10098.22,340.28
2025,8,2025-08-19,BSSU,81427.98,81120.87
2025,8,2025-08-19,LA LABOR FED,14750.97,0
2025,8,2025-08-19,PROTEC17,25404.42,0
2025,8,2025-08-19,SEIU 925 ,274600.77,0
2025,8,2025-08-19,SEIU 2015 ,188076.85,171938.55
2025,8,2025-08-19,SEIU 221 ,22071.98,0
2025,8,2025-08-19,UFCW 3000,73386.18,0
2025,8,2025-08-19,MEAWU,3450.91,0
2025,8,2025-08-19,NVLF,2799.06,0
2025,8,2025-08-19,UDWU,13640.72,0
2025,8,2025-08-19,UFCW367,4625.12,0
2025,8,2025-08-19,KIWA,1388,0
2025,7,2025-07-24,WORKING WA,9895.4,317.7
